Position,Code,Registration,Total Score,Language,Math,Specific
227,1504,19103243,47.8,9.3,6.3,32.2
228,1504,19113629,47.8,11.1,0.0,36.7
229,1504,19143642,47.7,0.0,22.6,25.1
230,1504,19119337,47.7,17.4,10.9,19.5
231,1504,19119251,47.7,29.4,12.5,5.8
232,1504,19138337,47.7,29.4,12.5,5.8
233,1504,19114105,47.7,9.3,0.0,38.4
234,1504,19103873,47.6,37.4,0.0,10.2
235,1504,19119196,47.5,8.8,6.2,32.6
236,1504,19110085,47.4,17.3,5.1,25.1
237,1504,19104373,47.4,27.5,0.0,19.9
238,1504,19119568,47.3,0.0,23.4,23.9
239,1504,19103534,47.1,11.1,13.0,23.0
240,1504,19124947,47.0,19.1,23.6,4.3
241,1504,19106480,46.9,14.7,0.0,32.2
242,1504,19128322,46.9,8.0,34.6,4.3
243,1504,19119532,46.9,8.8,17.5,20.6
244,1504,19106473,46.8,7.0,19.3,20.6
245,1504,19126268,46.7,0.0,17.0,29.7
246,1504,19118315,46.7,29.4,0.0,17.3
247,1504,19122910,46.5,0.0,6.3,40.2
248,1504,19131909,46.4,2.3,17.1,27.0
249,1504,19128881,46.3,7.0,4.5,34.8
250,1504,19141442,46.2,8.0,4.5,33.7
251,1504,19134503,46.1,8.0,6.3,31.8
252,1504,19113330,46.1,15.9,5.1,25.1
253,1504,19120270,45.9,39.7,0.0,6.2
254,1504,19111749,45.9,12.4,19.1,14.3
255,1504,19124831,45.9,15.0,11.4,19.5
256,1504,19106581,45.8,16.8,18.9,10.2
257,1504,19144362,45.7,0.0,29.0,16.8
258,1504,19111275,45.6,24.3,5.1,16.2
259,1504,19122834,45.2,2.3,27.1,15.8
260,1504,19106526,45.2,17.3,6.7,21.2
261,1504,19140095,45.1,2.3,34.3,8.5
262,1504,19134088,44.9,23.9,0.0,21.0
263,1504,19111952,44.9,2.3,0.0,42.6
264,1504,19125974,44.9,0.0,28.5,16.4
265,1504,19137341,44.9,15.0,0.0,29.9
266,1504,19135849,44.8,19.1,0.0,25.8
267,1504,19123175,44.7,14.7,6.7,23.3
268,1504,19131206,44.5,8.0,5.1,31.4
269,1504,19137498,44.4,7.0,15.4,22.1
270,1504,19114057,44.4,7.0,25.8,11.7
271,1504,19108155,44.3,0.0,11.4,32.9
272,1504,19114153,44.2,0.0,4.5,39.7
273,1504,19138342,44.1,8.8,17.9,17.5
274,1504,19136663,44.1,19.1,6.3,18.7
275,1504,19120584,43.9,15.1,18.9,10.0
276,1504,19112041,43.9,2.3,21.0,20.6
277,1504,19144246,43.8,2.3,0.0,41.5
278,1504,19115409,43.8,2.3,31.4,10.2
279,1504,19138956,43.8,10.3,0.0,33.5
280,1504,19136535,43.6,2.3,0.0,41.3
281,1504,19137902,43.6,27.8,11.4,4.3
282,1504,19135556,43.5,15.0,17.1,11.5
283,1504,19144660,43.2,17.3,4.5,21.4
284,1504,19128045,43.2,0.0,17.0,26.2
285,1504,19109467,43.2,9.3,23.9,10.0
286,1504,19115905,43.1,13.6,6.2,23.3
287,1504,19103085,42.9,2.3,20.7,19.9
288,1504,19103080,42.8,17.4,11.2,14.3
289,1504,19131470,42.8,19.1,0.0,23.7
290,1504,19123776,42.8,2.3,13.0,27.5
291,1504,19121867,42.8,9.3,0.0,33.5
292,1504,19134610,42.8,0.0,11.4,31.4
293,1504,19111917,42.8,2.3,5.1,35.4
294,1504,19125237,42.7,22.0,6.3,14.3
295,1504,19113185,42.7,2.3,10.8,29.6
296,1504,19110731,42.6,8.0,11.7,22.9
297,1504,19121368,42.6,0.0,20.5,22.1
298,1504,19114904,42.6,26.1,6.3,10.2
299,1504,19111732,42.6,14.7,15.4,12.4
300,1504,19118847,42.6,0.0,25.3,17.3
301,1504,19144518,42.5,2.3,27.7,12.4
302,1504,19113711,42.4,2.3,13.0,27.2
303,1504,19127615,42.4,0.0,17.1,25.3
304,1504,19122723,42.3,2.3,30.1,10.0
305,1504,19101393,42.3,9.3,0.0,33.0
306,1504,19118417,42.2,27.4,6.3,8.5
307,1504,19103263,42.2,8.8,17.0,16.4
308,1504,19113344,42.0,8.0,6.3,27.7
309,1504,19112859,42.0,2.3,10.8,28.9
310,1504,19129648,42.0,20.6,17.1,4.3
311,1504,19130458,41.9,10.3,9.6,22.1
312,1504,19141129,41.9,15.0,6.3,20.6
313,1504,19134121,41.9,31.5,0.0,10.4
314,1504,19109149,41.9,8.0,18.0,15.8
315,1504,19130111,41.8,8.8,17.5,15.6
316,1504,19114438,41.8,8.0,11.2,22.6
317,1504,19123528,41.8,15.7,10.9,15.1
318,1504,19130464,41.8,10.3,31.4,0.0
319,1504,19138832,41.5,2.3,18.0,21.2
320,1504,19142408,41.4,8.0,6.7,26.8
321,1504,19140551,41.4,8.0,23.4,10.0
322,1504,19144156,41.3,8.0,29.0,4.3
323,1504,19110413,41.3,0.0,18.9,22.4
324,1504,19120126,41.2,2.3,0.0,38.9
325,1504,19105160,41.2,2.3,16.0,22.9
326,1504,19129933,41.1,2.3,11.2,27.7
327,1504,19121206,41.1,15.1,9.6,16.4
328,1504,19123187,41.0,2.3,10.8,27.9
329,1504,19135768,41.0,2.3,9.6,29.2
330,1504,19115993,41.0,20.5,20.5,0.0
331,1504,19129544,40.9,8.0,17.1,15.8
332,1504,19112165,40.8,10.3,9.6,21.0
333,1504,19123574,40.8,8.0,6.3,26.4
334,1504,19141236,40.7,22.0,14.4,4.3
335,1504,19103181,40.7,9.3,0.0,31.4
336,1504,19112927,40.6,2.3,5.1,33.3
337,1504,19108650,40.6,0.0,30.0,10.6
338,1504,19100620,40.6,12.4,6.3,21.9
339,1504,19103449,40.6,15.1,0.0,25.5
340,1504,19103420,40.4,15.1,15.4,10.0
341,1504,19136175,40.4,7.0,12.5,21.0
342,1504,19139493,40.4,13.6,12.5,14.3
343,1504,19124073,40.4,8.0,0.0,32.4
344,1504,19108035,40.4,23.1,0.0,17.3
345,1504,19124871,40.3,15.0,0.0,25.3
346,1504,19138919,40.2,0.0,23.4,16.8
347,1504,19111831,40.1,8.8,11.4,19.9
348,1504,19126723,40.0,2.3,6.2,31.6
349,1504,19110152,40.0,23.1,10.7,6.2
350,1504,19104030,39.9,22.8,12.8,4.3
351,1504,19135167,39.8,12.4,4.5,22.9
352,1504,19141474,39.8,10.3,6.2,23.3
353,1504,19133504,39.6,15.0,6.3,18.3
354,1504,19119985,39.6,8.8,10.7,20.2
355,1504,19125528,39.6,13.6,11.2,14.7
356,1504,19103543,39.6,2.3,5.1,32.2
357,1504,19100372,39.5,0.0,17.1,22.4
358,1504,19140288,39.4,11.1,6.3,22.1
359,1504,19100482,39.4,21.4,6.3,11.7
360,1504,19114920,39.1,9.3,12.5,17.3
361,1504,19145059,39.0,2.3,17.2,19.5
362,1504,19127509,39.0,0.0,4.5,34.5
363,1504,19103106,39.0,0.0,4.5,34.5
364,1504,19111127,39.0,0.0,23.4,15.6
365,1504,19117963,38.9,9.3,23.8,5.8
366,1504,19109716,38.9,0.0,29.0,10.0
367,1504,19142430,38.8,12.4,0.0,26.4
368,1504,19130469,38.7,21.6,10.8,6.2
369,1504,19133128,38.7,21.6,11.2,5.8
370,1504,19143881,38.7,7.0,6.2,25.5
371,1504,19117058,38.6,2.3,10.8,25.5
372,1504,19115671,38.6,2.3,32.2,4.1
373,1504,19140542,38.6,14.7,9.6,14.3
374,1504,19116895,38.5,14.7,23.7,0.0
375,1504,19124121,38.3,9.3,12.5,16.6
376,1504,19130188,38.2,10.3,0.0,27.9
377,1504,19138187,38.2,2.3,6.3,29.6
378,1504,19130431,38.2,9.3,0.0,28.9
379,1504,19121544,38.1,2.3,23.7,12.1
380,1504,19102963,38.1,16.8,4.5,16.8
381,1504,19137410,38.0,10.3,0.0,27.7
382,1504,19133773,37.9,0.0,17.0,20.9
383,1504,19130153,37.6,9.3,5.1,23.3
384,1504,19104256,37.5,0.0,18.0,19.5
385,1504,19121531,37.4,19.4,6.3,11.7
386,1504,19103753,37.4,10.3,10.8,16.2
387,1504,19115372,37.3,8.0,17.2,12.1
388,1504,19136143,37.1,14.7,6.2,16.2
389,1504,19100778,37.1,2.3,13.0,21.8
390,1504,19139059,37.1,10.3,0.0,26.8
391,1504,19124099,37.0,9.3,0.0,27.7
392,1504,19136692,36.9,0.0,20.7,16.2
393,1504,19117460,36.8,2.3,11.7,22.8
394,1504,19118342,36.8,15.0,0.0,21.8
395,1504,19113055,36.8,8.8,11.2,16.8
396,1504,19123929,36.7,9.3,0.0,27.4
397,1504,19130966,36.7,0.0,11.4,25.3
398,1504,19118943,36.6,11.1,0.0,25.5
399,1504,19131822,36.6,15.0,11.4,10.2
400,1504,19118402,36.6,19.1,0.0,17.5
401,1504,19136880,36.5,26.0,6.3,4.1
402,1504,19132594,36.5,8.0,22.6,5.8
403,1504,19111104,36.4,0.0,15.9,20.6
404,1504,19139710,36.4,23.9,0.0,12.4
405,1504,19106528,36.4,13.6,6.3,16.4
406,1504,19143891,36.3,13.6,6.7,16.0
407,1504,19143767,36.2,10.3,4.5,21.4
408,1504,19118588,36.2,2.3,13.0,20.9
409,1504,19143777,36.2,19.1,13.0,4.1
410,1504,19136422,36.2,8.0,6.3,21.8
411,1504,19130708,36.1,23.9,6.3,5.8
412,1504,19134016,36.0,10.3,21.6,4.1
413,1504,19139838,36.0,16.8,13.0,6.2
414,1504,19102465,35.9,2.3,0.0,33.6
415,1504,19108788,35.9,2.3,6.2,27.5
416,1504,19109568,35.8,2.3,13.0,20.6
417,1504,19118556,35.8,12.4,17.5,5.8
418,1504,19130988,35.8,2.3,27.7,5.8
419,1504,19144801,35.7,0.0,6.2,29.6
420,1504,19110661,35.7,13.6,0.0,22.1
421,1504,19104233,35.7,7.0,17.2,11.5
422,1504,19111419,35.6,2.3,0.0,33.3
423,1504,19122592,35.5,15.1,6.2,14.3
424,1504,19116294,35.4,14.7,4.5,16.2
425,1504,19101133,35.4,2.3,15.4,17.7
426,1504,19102448,35.4,0.0,29.6,5.8
427,1504,19103048,35.4,12.4,0.0,22.9
428,1504,19138825,35.3,9.3,11.7,14.3
429,1504,19122930,35.3,8.0,6.7,20.6
430,1504,19101629,35.2,2.3,27.1,5.8
431,1504,19104726,35.2,0.0,4.5,30.7
432,1504,19112768,35.2,0.0,17.3,17.9
433,1504,19129749,35.2,2.3,9.6,23.3
434,1504,19133325,35.0,0.0,17.2,17.7
435,1504,19143602,34.9,21.4,5.1,8.5
436,1504,19136524,34.9,10.3,12.5,12.1
437,1504,19142458,34.9,8.8,9.6,16.6
438,1504,19104301,34.9,8.0,21.0,5.8
439,1504,19125027,34.8,0.0,0.0,34.8
440,1504,19100797,34.8,0.0,29.0,5.8
441,1504,19111263,34.8,8.0,0.0,26.7
442,1504,19107711,34.7,2.3,0.0,32.4
443,1504,19100739,34.6,24.3,6.2,4.1
444,1504,19104818,34.6,18.0,0.0,16.6
445,1504,19106485,34.5,0.0,12.5,22.1
446,1504,19119233,34.4,22.0,6.2,6.2
447,1504,19139073,34.3,2.3,4.5,27.5
448,1504,19133219,34.2,19.4,10.7,4.1
449,1504,19131032,34.2,8.0,16.2,10.0
450,1504,19108304,34.2,0.0,12.8,21.4
451,1504,19138530,34.2,8.0,9.6,16.6
452,1504,19100045,34.1,2.3,17.5,14.3
453,1504,19118878,34.1,0.0,27.9,6.2
454,1504,19138141,34.1,2.3,27.7,4.1
455,1504,19101669,33.9,29.8,0.0,4.1
456,1504,19142274,33.9,0.0,0.0,33.9
457,1504,19138879,33.9,8.8,10.8,14.3
458,1504,19115673,33.9,0.0,28.1,5.8
459,1504,19103898,33.9,22.4,0.0,11.5
460,1504,19129660,33.8,16.8,6.7,10.4
461,1504,19108152,33.8,2.3,6.2,25.3
462,1504,19111750,33.7,27.1,6.7,0.0
463,1504,19138677,33.7,2.3,31.4,0.0
464,1504,19111953,33.7,21.2,12.5,0.0
465,1504,19115730,33.6,17.4,6.3,10.0
466,1504,19105691,33.6,0.0,17.6,16.0
467,1504,19115221,33.4,27.1,6.3,0.0
468,1504,19115756,33.4,2.3,20.7,10.4
469,1504,19121263,33.2,10.3,12.7,10.2
470,1504,19141244,33.2,9.3,9.6,14.3
471,1504,19130599,33.0,10.3,11.2,11.5
472,1504,19136266,32.9,10.3,0.0,22.6
473,1504,19100236,32.9,0.0,0.0,32.9
474,1504,19117589,32.8,17.4,5.1,10.4
475,1504,19115295,32.6,8.0,20.5,4.1
476,1504,19119167,32.6,2.3,4.5,25.8
477,1504,19102235,32.6,8.8,11.7,12.1
478,1504,19127485,32.5,8.8,4.5,19.3
479,1504,19110792,32.5,0.0,13.0,19.5
480,1504,19122000,32.4,17.4,5.1,10.0
481,1504,19104099,32.2,7.0,25.2,0.0
482,1504,19100992,32.2,2.3,0.0,29.9
483,1504,19101856,32.0,21.4,6.3,4.3
484,1504,19113966,32.0,8.8,12.7,10.6
485,1504,19129812,32.0,8.8,23.2,0.0
486,1504,19141096,31.9,10.3,9.6,12.1
487,1504,19128446,31.9,2.3,5.1,24.5
488,1504,19114412,31.7,15.0,10.8,5.8
489,1504,19106145,31.7,14.7,6.3,10.6
490,1504,19131806,31.6,9.3,10.9,11.5
491,1504,19110315,31.6,15.7,15.9,0.0
492,1504,19142921,31.6,10.3,10.9,10.4
493,1504,19132502,31.6,16.0,11.4,4.1
494,1504,19144538,31.5,0.0,4.5,27.0
495,1504,19132578,31.5,0.0,4.5,27.0
496,1504,19139330,31.5,10.3,17.1,4.1
497,1504,19111860,31.5,2.3,6.3,22.9
498,1504,19122249,31.5,24.8,6.7,0.0
499,1504,19126243,31.3,8.0,0.0,23.3
500,1504,19123247,31.2,2.3,6.3,22.6
501,1504,19104272,31.2,0.0,14.4,16.8
502,1504,19116129,31.1,16.8,0.0,14.3
503,1504,19131311,30.9,9.3,0.0,21.6
504,1504,19143313,30.9,0.0,20.7,10.2
505,1504,19103456,30.9,9.3,11.4,10.2
506,1504,19118739,30.7,0.0,6.2,24.5
507,1504,19128276,30.7,8.0,0.0,22.6
508,1504,19126235,30.7,2.3,5.1,23.3
509,1504,19118582,30.6,2.3,11.2,17.1
510,1504,19100791,30.6,8.8,4.5,17.3
511,1504,19132710,30.5,2.3,0.0,28.3
512,1504,19138843,30.5,10.3,9.6,10.6
513,1504,19128349,30.4,2.3,6.3,21.8
514,1504,19135088,30.4,15.9,4.5,10.0
515,1504,19114635,30.4,2.3,12.5,15.6
516,1504,19112042,30.4,2.3,0.0,28.1
517,1504,19132410,30.2,14.7,5.1,10.4
518,1504,19104644,29.9,0.0,0.0,29.9
519,1504,19132619,29.8,10.3,9.6,10.0
520,1504,19106566,29.8,2.3,9.6,17.9
521,1504,19101468,29.7,0.0,29.7,0.0
522,1504,19121507,29.7,10.3,10.9,8.5
523,1504,19143244,29.7,8.8,4.5,16.4
524,1504,19126003,29.5,19.1,6.3,4.1
525,1504,19128673,29.4,17.4,0.0,12.1
526,1504,19120482,29.2,19.1,0.0,10.2
527,1504,19143002,29.2,12.4,0.0,16.8
528,1504,19114157,29.2,9.3,9.6,10.4
529,1504,19121235,29.2,2.3,5.1,21.9
530,1504,19105149,29.0,0.0,13.0,16.0
531,1504,19112403,28.9,0.0,0.0,28.9
532,1504,19130717,28.8,2.3,5.1,21.5
533,1504,19106399,28.8,0.0,28.8,0.0
534,1504,19140908,28.8,12.4,6.3,10.0
535,1504,19110552,28.7,22.4,6.3,0.0
536,1504,19115949,28.7,0.0,11.4,17.3
537,1504,19102593,28.6,9.3,5.1,14.3
538,1504,19116386,28.5,0.0,12.7,15.8
539,1504,19107459,28.4,0.0,12.8,15.6
540,1504,19101944,28.3,2.3,17.5,8.5
541,1504,19128071,28.3,13.6,4.5,10.2
542,1504,19118772,28.2,2.3,4.5,21.4
543,1504,19120170,28.1,0.0,12.5,15.6
544,1504,19126523,28.0,2.3,0.0,25.7
545,1504,19111224,28.0,13.6,14.4,0.0
546,1504,19125925,28.0,0.0,23.6,4.3
547,1504,19124892,28.0,0.0,6.3,21.6
548,1504,19142605,27.9,2.3,5.1,20.6
549,1504,19141127,27.9,2.3,5.1,20.6
550,1504,19100202,27.8,0.0,4.5,23.3
551,1504,19104431,27.8,0.0,6.2,21.6
552,1504,19128944,27.7,0.0,23.4,4.3
553,1504,19123011,27.7,0.0,10.9,16.8
554,1504,19141775,27.6,0.0,0.0,27.6
555,1504,19107940,27.6,7.0,6.3,14.3
556,1504,19138803,27.5,2.3,10.9,14.3
557,1504,19115885,27.5,15.0,12.5,0.0
558,1504,19136254,27.5,0.0,17.1,10.4
